m,TagName,
"2010-12-01 00:00:00","javascript","4953"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5351"
"2010-12-01 00:00:00","python","2471"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7976"
"2011-01-01 00:00:00","c++","3482"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6528"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6378"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1633"
"2011-02-01 00:00:00","c#","8205"
"2011-02-01 00:00:00","c++","3434"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6851"
"2011-02-01 00:00:00","javascript","5590"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6661"
"2011-02-01 00:00:00","python","3007"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2108"
"2011-03-01 00:00:00","c#","9966"
"2011-03-01 00:00:00","c++","4166"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","javascript","6756"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8037"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9253"
"2011-04-01 00:00:00","c++","4160"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7880"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7568"
"2011-04-01 00:00:00","python","3328"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1820"
"2011-05-01 00:00:00","c#","9963"
"2011-05-01 00:00:00","c++","3863"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8524"
"2011-05-01 00:00:00","javascript","7288"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8032"
"2011-05-01 00:00:00","python","3510"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1563"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1760"
"2011-06-01 00:00:00","c#","9714"
"2011-06-01 00:00:00","c++","3797"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7860"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7974"
"2011-06-01 00:00:00","python","3460"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9555"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8120"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8579"
"2011-07-01 00:00:00","python","3648"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","9999"
"2011-08-01 00:00:00","c++","3942"
"2011-08-01 00:00:00","delphi","422"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8630"
"2011-08-01 00:00:00","javascript","8862"
"2011-08-01 00:00:00","perl","610"
"2011-08-01 00:00:00","php","8825"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9237"
"2011-09-01 00:00:00","c++","3922"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8277"
"2011-09-01 00:00:00","javascript","8135"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7978"
"2011-09-01 00:00:00","python","3508"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9153"
"2011-10-01 00:00:00","c++","4334"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8497"
"2011-10-01 00:00:00","javascript","7971"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7955"
"2011-10-01 00:00:00","python","3600"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1601"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9835"
"2011-11-01 00:00:00","c++","4450"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9563"
"2011-11-01 00:00:00","javascript","8603"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8591"
"2011-11-01 00:00:00","python","3854"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2000"
"2011-12-01 00:00:00","c#","9242"
"2011-12-01 00:00:00","c++","4329"
"2011-12-01 00:00:00","delphi","571"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9117"
"2011-12-01 00:00:00","javascript","8266"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8250"
"2011-12-01 00:00:00","python","3603"
"2011-12-01 00:00:00","r","613"
"2011-12-01 00:00:00","ruby","1668"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2215"
"2012-01-01 00:00:00","c#","10317"
"2012-01-01 00:00:00","c++","4516"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10051"
"2012-01-01 00:00:00","javascript","9528"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9169"
"2012-01-01 00:00:00","python","4176"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1882"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2392"
"2012-02-01 00:00:00","c#","10666"
"2012-02-01 00:00:00","c++","5071"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10864"
"2012-02-01 00:00:00","javascript","9895"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9783"
"2012-02-01 00:00:00","python","4471"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2705"
"2012-03-01 00:00:00","c#","11475"
"2012-03-01 00:00:00","c++","5189"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12264"
"2012-03-01 00:00:00","javascript","10608"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10743"
"2012-03-01 00:00:00","python","5002"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","c","2658"
"2012-04-01 00:00:00","c#","11017"
"2012-04-01 00:00:00","c++","5265"
"2012-04-01 00:00:00","delphi","481"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11916"
"2012-04-01 00:00:00","javascript","10582"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10260"
"2012-04-01 00:00:00","python","4891"
"2012-04-01 00:00:00","r","838"
"2012-04-01 00:00:00","ruby","1955"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2471"
"2012-05-01 00:00:00","c#","11472"
"2012-05-01 00:00:00","c++","4960"
"2012-05-01 00:00:00","delphi","477"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12095"
"2012-05-01 00:00:00","javascript","11435"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10809"
"2012-05-01 00:00:00","python","5064"
"2012-05-01 00:00:00","r","873"
"2012-05-01 00:00:00","ruby","1960"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2303"
"2012-06-01 00:00:00","c#","11285"
"2012-06-01 00:00:00","c++","4631"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11068"
"2012-06-01 00:00:00","javascript","11193"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10492"
"2012-06-01 00:00:00","python","5259"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1885"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2365"
"2012-07-01 00:00:00","c#","12292"
"2012-07-01 00:00:00","c++","5261"
"2012-07-01 00:00:00","delphi","438"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12221"
"2012-07-01 00:00:00","javascript","12298"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11667"
"2012-07-01 00:00:00","python","5717"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","c#","11930"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12231"
"2012-08-01 00:00:00","javascript","12419"
"2012-08-01 00:00:00","perl","761"
"2012-08-01 00:00:00","php","11831"
"2012-08-01 00:00:00","python","5854"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2057"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2525"
"2012-09-01 00:00:00","c#","11256"
"2012-09-01 00:00:00","c++","4901"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11592"
"2012-09-01 00:00:00","javascript","11152"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10924"
"2012-09-01 00:00:00","python","5246"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3150"
"2012-10-01 00:00:00","c#","12702"
"2012-10-01 00:00:00","c++","5898"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13458"
"2012-10-01 00:00:00","javascript","12398"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11700"
"2012-10-01 00:00:00","python","6122"
"2012-10-01 00:00:00","r","1266"
